YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Consumption_Pattern,ConditionType,Condition,Sex,AgeGroup,Direct_AAF,Direct_AAF_Alternate,Indirect_AAF_Low,Indirect_AAF_Low_Alt,Indirect_AAF_Medium,Indirect_AAF_Medium_Alt,Indirect_AAF_High,Indirect_AAF_High_Alt,LocationID,ClassID,ConditionID,ConsumptionID,Stratification1ID,Stratification2ID
2006,2010,MN,Minnesota,ARDI,Excessive Use,Chronic   ,"Low birth weight, prematurity, IUGR, death",Male,All Ages,,,N/A,0.00,0.02,0.02,0.01,0.01,27,CHRONIC,LBWPID,EXCUSE,GENM,AGEGRP0
2006,2010,NE,Nebraska,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,25-34,0.49,0.49,,,,,,,31,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP10
2006,2010,DE,Delaware,ARDI,Excessive Use,Chronic   ,Alcoholic psychosis,Male,All Ages,1.00,1.00,,,,,,,10,CHRONIC,ALCPSY,EXCUSE,GENM,AGEGRP0
2006,2010,HI,Hawaii,ARDI,Excessive Use,Chronic   ,Supraventricular cardiac dysrhythmia,Female,All Ages,,,N/A,0.00,0.01,0.01,0.01,0.01,15,CHRONIC,SUCADY,EXCUSE,GENF,AGEGRP0
2006,2010,IN,Indiana,ARDI,Excessive Use,Acute     ,Fire injuries,Male,All Ages,0.42,0.42,,,,,,,18,ACUTE,FIREIN,EXCUSE,GENM,AGEGRP0
2006,2010,GA,Georgia,ARDI,Excessive Use,Acute     ,Other road vehicle crashes,Male,All Ages,0.18,0.18,,,,,,,13,ACUTE,ORVACC,EXCUSE,GENM,AGEGRP0
2006,2010,AL,Alabama,ARDI,Excessive Use,Chronic   ,"Liver cirrhosis, unspecified",Female,All Ages,0.40,0.40,,,,,,,01,CHRONIC,LIVCIR,EXCUSE,GENF,AGEGRP0
2006,2010,AK,Alaska,ARDI,Excessive Use,Chronic   ,Acute pancreatitis,Male,All Ages,0.24,0.24,,,,,,,02,CHRONIC,ACUPAN,EXCUSE,GENM,AGEGRP0
2006,2010,MS,Mississippi,ARDI,Excessive Use,Chronic   ,Supraventricular cardiac dysrhythmia,Female,All Ages,,,N/A,0.00,0.01,0.01,0.00,0.00,28,CHRONIC,SUCADY,EXCUSE,GENF,AGEGRP0
2006,2010,LA,Louisiana,ARDI,Excessive Use,Chronic   ,"Stroke, ischemic",Female,All Ages,,,N/A,0.00,0.01,0.01,0.00,0.00,21,CHRONIC,STROKI,EXCUSE,GENF,AGEGRP0
2006,2010,RI,Rhode Island,ARDI,Excessive Use,Chronic   ,Alcohol polyneuropathy,Male,All Ages,1.00,1.00,,,,,,,44,CHRONIC,ALCPOL,EXCUSE,GENM,AGEGRP0
2006,2010,ND,North Dakota,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,65+,0.12,0.12,,,,,,,38,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP5
2006,2010,IA,Iowa,ARDI,Excessive Use,Chronic   ,"Stroke, ischemic",Male,All Ages,,,N/A,0.00,0.04,0.04,0.02,0.02,19,CHRONIC,STROKI,EXCUSE,GENM,AGEGRP0
2006,2010,SD,South Dakota,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,0-14,0.15,0.15,,,,,,,46,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP7
2006,2010,MN,Minnesota,ARDI,Excessive Use,Chronic   ,"Stroke, hemorrhagic",Male,All Ages,,,N/A,0.00,0.03,0.03,0.05,0.05,27,CHRONIC,STROKH,EXCUSE,GENM,AGEGRP0
2006,2010,MS,Mississippi,ARDI,Excessive Use,Chronic   ,Psoriasis,Male,All Ages,,,N/A,0.00,0.00,0.00,0.01,0.01,28,CHRONIC,PSORIA,EXCUSE,GENM,AGEGRP0
2006,2010,MN,Minnesota,ARDI,Excessive Use,Chronic   ,Fetus and newborn affected by maternal use of alcohol,Female,All Ages,1.00,1.00,,,,,,,27,CHRONIC,ALCMAU,EXCUSE,GENF,AGEGRP0
2006,2010,NV,Nevada,ARDI,Excessive Use,Chronic   ,Acute pancreatitis,Male,All Ages,0.24,0.24,,,,,,,32,CHRONIC,ACUPAN,EXCUSE,GENM,AGEGRP0
2006,2010,DE,Delaware,ARDI,Excessive Use,Chronic   ,Degeneration of nervous system due to alcohol,Female,All Ages,1.00,1.00,,,,,,,10,CHRONIC,ALCNER,EXCUSE,GENF,AGEGRP0
2006,2010,AK,Alaska,ARDI,Excessive Use,Acute     ,Air-space transport,Male,All Ages,0.18,0.18,,,,,,,02,ACUTE,AIRTRA,EXCUSE,GENM,AGEGRP0
2006,2010,LA,Louisiana,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Female,0-14,0.15,0.15,,,,,,,21,ACUTE,MTVTRA,EXCUSE,GENF,AGEGRP7
2006,2010,PA,Pennsylvania,ARDI,Excessive Use,Chronic   ,Alcoholic liver disease,Male,All Ages,1.00,1.00,,,,,,,42,CHRONIC,ALCLID,EXCUSE,GENM,AGEGRP0
2006,2010,US,National,ARDI,Excessive Use,Acute     ,Drowning,Male,All Ages,0.34,0.34,,,,,,,00,ACUTE,DROWNI,EXCUSE,GENM,AGEGRP0
2006,2010,CA,California,ARDI,Excessive Use,Chronic   ,Cholelithiases,Male,All Ages,,,N/A,0.00,-0.01,-0.01,-0.01,-0.01,06,CHRONIC,CHOLEL,EXCUSE,GENM,AGEGRP0
2006,2010,MS,Mississippi,ARDI,Excessive Use,Chronic   ,Alcoholic psychosis,Female,All Ages,1.00,1.00,,,,,,,28,CHRONIC,ALCPSY,EXCUSE,GENF,AGEGRP0
2006,2010,AL,Alabama,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,25-34,0.49,0.49,,,,,,,01,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP10
2006,2010,IN,Indiana,ARDI,Excessive Use,Chronic   ,Portal hypertension,Male,All Ages,0.40,0.40,,,,,,,18,CHRONIC,PORHYP,EXCUSE,GENM,AGEGRP0
2006,2010,FL,Florida,ARDI,Excessive Use,Chronic   ,Laryngeal cancer,Male,All Ages,,,N/A,0.00,0.03,0.03,0.04,0.04,12,CHRONIC,LARCAN,EXCUSE,GENM,AGEGRP0
2006,2010,WV,West Virginia,ARDI,Excessive Use,Chronic   ,"Stroke, ischemic",Male,All Ages,,,N/A,0.00,0.02,0.02,0.02,0.02,54,CHRONIC,STROKI,EXCUSE,GENM,AGEGRP0
2006,2010,NH,New Hampshire,ARDI,Excessive Use,Acute     ,Air-space transport,Female,All Ages,0.18,0.18,,,,,,,33,ACUTE,AIRTRA,EXCUSE,GENF,AGEGRP0
2006,2010,IN,Indiana,ARDI,Excessive Use,Chronic   ,Alcohol polyneuropathy,Male,All Ages,1.00,1.00,,,,,,,18,CHRONIC,ALCPOL,EXCUSE,GENM,AGEGRP0
2006,2010,SD,South Dakota,ARDI,Excessive Use,Chronic   ,Alcohol dependence syndrome,Male,All Ages,1.00,1.00,,,,,,,46,CHRONIC,ALCDSY,EXCUSE,GENM,AGEGRP0
2006,2010,NE,Nebraska,ARDI,Excessive Use,Acute     ,Firearm injuries,Male,All Ages,0.18,0.18,,,,,,,31,ACUTE,FIREAR,EXCUSE,GENM,AGEGRP0
2006,2010,NH,New Hampshire,ARDI,Excessive Use,Chronic   ,Alcoholic gastritis,Male,All Ages,1.00,1.00,,,,,,,33,CHRONIC,ALCGAS,EXCUSE,GENM,AGEGRP0
2006,2010,UT,Utah,ARDI,Excessive Use,Acute     ,Occupational and machine injuries,Male,All Ages,0.18,0.18,,,,,,,51,ACUTE,MACHOB,EXCUSE,GENM,AGEGRP0
2006,2010,AL,Alabama,ARDI,Excessive Use,Acute     ,Homicide,Male,All Ages,0.47,0.47,,,,,,,01,ACUTE,HOMICI,EXCUSE,GENM,AGEGRP0
2006,2010,MN,Minnesota,ARDI,Excessive Use,Chronic   ,Acute pancreatitis,Male,All Ages,0.24,0.24,,,,,,,27,CHRONIC,ACUPAN,EXCUSE,GENM,AGEGRP0
2006,2010,GA,Georgia,ARDI,Excessive Use,Acute     ,Firearm injuries,Male,All Ages,0.18,0.18,,,,,,,13,ACUTE,FIREAR,EXCUSE,GENM,AGEGRP0
2006,2010,WA,Washington,ARDI,Excessive Use,Chronic   ,Degeneration of nervous system due to alcohol,Male,All Ages,1.00,1.00,,,,,,,53,CHRONIC,ALCNER,EXCUSE,GENM,AGEGRP0
2006,2010,CA,California,ARDI,Excessive Use,Chronic   ,Alcoholic psychosis,Male,All Ages,1.00,1.00,,,,,,,06,CHRONIC,ALCPSY,EXCUSE,GENM,AGEGRP0
2006,2010,SD,South Dakota,ARDI,Excessive Use,Acute     ,Excessive blood alcohol level,Female,All Ages,1.00,1.00,,,,,,,46,ACUTE,ALCBLA,EXCUSE,GENF,AGEGRP0
2006,2010,SD,South Dakota,ARDI,Excessive Use,Acute     ,Occupational and machine injuries,Male,All Ages,0.18,0.18,,,,,,,46,ACUTE,MACHOB,EXCUSE,GENM,AGEGRP0
2006,2010,HI,Hawaii,ARDI,Excessive Use,Chronic   ,Chronic hepatitis,Male,All Ages,,,N/A,0.00,0.01,0.01,0.03,0.03,15,CHRONIC,CHRHEP,EXCUSE,GENM,AGEGRP0
2006,2010,IA,Iowa,ARDI,Excessive Use,Chronic   ,Esophageal cancer,Male,All Ages,,,N/A,0.00,0.01,0.01,0.04,0.04,19,CHRONIC,ESOCAN,EXCUSE,GENM,AGEGRP0
2006,2010,OK,Oklahoma,ARDI,Excessive Use,Acute     ,Motor-vehicle nontraffic crashes,Male,All Ages,0.18,0.18,,,,,,,40,ACUTE,MTVNTR,EXCUSE,GENM,AGEGRP0
2006,2010,AZ,Arizona,ARDI,Excessive Use,Chronic   ,Oropharyngeal cancer,Female,All Ages,,,N/A,0.00,0.01,0.01,0.02,0.02,04,CHRONIC,OROCAN,EXCUSE,GENF,AGEGRP0
2006,2010,AR,Arkansas,ARDI,Excessive Use,Acute     ,Suicide by and exposure to alcohol,Female,All Ages,1.00,1.00,,,,,,,05,ACUTE,ALCSUC,EXCUSE,GENF,AGEGRP0
2006,2010,OR,Oregon,ARDI,Excessive Use,Acute     ,Poisoning (not alcohol),Female,All Ages,0.29,0.29,,,,,,,41,ACUTE,POISON,EXCUSE,GENF,AGEGRP0
2006,2010,VA,Virginia,ARDI,Excessive Use,Chronic   ,Acute pancreatitis,Male,All Ages,0.24,0.24,,,,,,,52,CHRONIC,ACUPAN,EXCUSE,GENM,AGEGRP0
2006,2010,ND,North Dakota,ARDI,Excessive Use,Chronic   ,Degeneration of nervous system due to alcohol,Male,All Ages,1.00,1.00,,,,,,,38,CHRONIC,ALCNER,EXCUSE,GENM,AGEGRP0
2006,2010,DC,District of Columbia,ARDI,Excessive Use,Chronic   ,Acute pancreatitis,Male,All Ages,0.24,0.24,,,,,,,11,CHRONIC,ACUPAN,EXCUSE,GENM,AGEGRP0
2006,2010,LA,Louisiana,ARDI,Excessive Use,Chronic   ,Alcoholic gastritis,Male,All Ages,1.00,1.00,,,,,,,21,CHRONIC,ALCGAS,EXCUSE,GENM,AGEGRP0
2006,2010,DE,Delaware,ARDI,Excessive Use,Chronic   ,Breast cancer (females only),Female,All Ages,,,N/A,0.00,0.01,0.01,0.00,0.00,10,CHRONIC,BRECAN,EXCUSE,GENF,AGEGRP0
2006,2010,DC,District of Columbia,ARDI,Excessive Use,Chronic   ,Alcohol polyneuropathy,Female,All Ages,1.00,1.00,,,,,,,11,CHRONIC,ALCPOL,EXCUSE,GENF,AGEGRP0
2006,2010,US,National,ARDI,Excessive Use,Chronic   ,Cholelithiases,Female,All Ages,,,N/A,0.00,0.00,0.00,0.00,0.00,00,CHRONIC,CHOLEL,EXCUSE,GENF,AGEGRP0
2006,2010,MA,Massachusetts,ARDI,Excessive Use,Chronic   ,Portal hypertension,Male,All Ages,0.40,0.40,,,,,,,25,CHRONIC,PORHYP,EXCUSE,GENM,AGEGRP0
2006,2010,MD,Maryland,ARDI,Excessive Use,Acute     ,Poisoning (not alcohol),Female,All Ages,0.29,0.29,,,,,,,24,ACUTE,POISON,EXCUSE,GENF,AGEGRP0
2006,2010,MS,Mississippi,ARDI,Excessive Use,Acute     ,Firearm injuries,Female,All Ages,0.18,0.18,,,,,,,28,ACUTE,FIREAR,EXCUSE,GENF,AGEGRP0
2006,2010,KS,Kansas,ARDI,Excessive Use,Acute     ,Hypothermia,Male,All Ages,0.42,0.42,,,,,,,20,ACUTE,HYPOTH,EXCUSE,GENM,AGEGRP0
2006,2010,OH,Ohio,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,0-14,0.15,0.15,,,,,,,39,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP7
2006,2010,PA,Pennsylvania,ARDI,Excessive Use,Chronic   ,Degeneration of nervous system due to alcohol,Male,All Ages,1.00,1.00,,,,,,,42,CHRONIC,ALCNER,EXCUSE,GENM,AGEGRP0
2006,2010,VT,Vermont,ARDI,Excessive Use,Chronic   ,Alcohol polyneuropathy,Female,All Ages,1.00,1.00,,,,,,,50,CHRONIC,ALCPOL,EXCUSE,GENF,AGEGRP0
2006,2010,MS,Mississippi,ARDI,Excessive Use,Chronic   ,Degeneration of nervous system due to alcohol,Male,All Ages,1.00,1.00,,,,,,,28,CHRONIC,ALCNER,EXCUSE,GENM,AGEGRP0
2006,2010,KS,Kansas,ARDI,Excessive Use,Acute     ,Alcohol poisoning,Male,All Ages,1.00,1.00,,,,,,,20,ACUTE,ALCPOI,EXCUSE,GENM,AGEGRP0
2006,2010,LA,Louisiana,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Female,25-34,0.37,0.37,,,,,,,21,ACUTE,MTVTRA,EXCUSE,GENF,AGEGRP10
2006,2010,MN,Minnesota,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,20-24,0.46,0.46,,,,,,,27,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP9
2006,2010,OR,Oregon,ARDI,Excessive Use,Chronic   ,Laryngeal cancer,Male,All Ages,,,N/A,0.00,0.03,0.03,0.03,0.03,41,CHRONIC,LARCAN,EXCUSE,GENM,AGEGRP0
2006,2010,NV,Nevada,ARDI,Excessive Use,Acute     ,Hypothermia,Female,All Ages,0.42,0.42,,,,,,,32,ACUTE,HYPOTH,EXCUSE,GENF,AGEGRP0
2006,2010,SC,South Carolina,ARDI,Excessive Use,Acute     ,Firearm injuries,Female,All Ages,0.18,0.18,,,,,,,45,ACUTE,FIREAR,EXCUSE,GENF,AGEGRP0
2006,2010,ME,Maine,ARDI,Excessive Use,Chronic   ,Fetus and newborn affected by maternal use of alcohol,Female,All Ages,1.00,1.00,,,,,,,23,CHRONIC,ALCMAU,EXCUSE,GENF,AGEGRP0
2006,2010,GA,Georgia,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Female,15-19,0.20,0.20,,,,,,,13,ACUTE,MTVTRA,EXCUSE,GENF,AGEGRP8
2006,2010,NJ,New Jersey,ARDI,Excessive Use,Acute     ,Child maltreatment,Male,All Ages,0.16,0.16,,,,,,,34,ACUTE,CHILAB,EXCUSE,GENM,AGEGRP0
2006,2010,DE,Delaware,ARDI,Excessive Use,Chronic   ,Esophageal varices,Female,All Ages,0.40,0.40,,,,,,,10,CHRONIC,ESOVAR,EXCUSE,GENF,AGEGRP0
2006,2010,MT,Montana,ARDI,Excessive Use,Chronic   ,Alcoholic gastritis,Male,All Ages,1.00,1.00,,,,,,,30,CHRONIC,ALCGAS,EXCUSE,GENM,AGEGRP0
2006,2010,OH,Ohio,ARDI,Excessive Use,Chronic   ,"Low birth weight, prematurity, IUGR, death",Female,All Ages,,,N/A,0.00,0.02,0.02,0.01,0.01,39,CHRONIC,LBWPID,EXCUSE,GENF,AGEGRP0
2006,2010,ND,North Dakota,ARDI,Excessive Use,Chronic   ,Breast cancer (females only),Male,All Ages,0.00,0.00,,,,,,,38,CHRONIC,BRECAN,EXCUSE,GENM,AGEGRP0
2006,2010,PA,Pennsylvania,ARDI,Excessive Use,Acute     ,Fire injuries,Male,All Ages,0.42,0.42,,,,,,,42,ACUTE,FIREIN,EXCUSE,GENM,AGEGRP0
2006,2010,NH,New Hampshire,ARDI,Excessive Use,Chronic   ,Prostate cancer (males only),Male,All Ages,,,N/A,0.00,0.00,0.00,0.00,0.00,33,CHRONIC,PROCAN,EXCUSE,GENM,AGEGRP0
2006,2010,PA,Pennsylvania,ARDI,Excessive Use,Acute     ,Water transport,Female,All Ages,0.18,0.18,,,,,,,42,ACUTE,WATTRA,EXCUSE,GENF,AGEGRP0
2006,2010,NM,New Mexico,ARDI,Excessive Use,Acute     ,Child maltreatment,Male,All Ages,0.16,0.16,,,,,,,35,ACUTE,CHILAB,EXCUSE,GENM,AGEGRP0
2006,2010,NE,Nebraska,ARDI,Excessive Use,Chronic   ,Acute pancreatitis,Female,All Ages,0.24,0.24,,,,,,,31,CHRONIC,ACUPAN,EXCUSE,GENF,AGEGRP0
2006,2010,NH,New Hampshire,ARDI,Excessive Use,Acute     ,Child maltreatment,Female,All Ages,0.16,0.16,,,,,,,33,ACUTE,CHILAB,EXCUSE,GENF,AGEGRP0
2006,2010,GA,Georgia,ARDI,Excessive Use,Chronic   ,Alcohol abuse,Female,All Ages,1.00,1.00,,,,,,,13,CHRONIC,ALCABU,EXCUSE,GENF,AGEGRP0
2006,2010,UT,Utah,ARDI,Excessive Use,Chronic   ,Prostate cancer (males only),Male,All Ages,,,N/A,0.00,0.00,0.00,0.00,0.00,51,CHRONIC,PROCAN,EXCUSE,GENM,AGEGRP0
2006,2010,NC,North Carolina,ARDI,Excessive Use,Chronic   ,Alcoholic myopathy,Female,All Ages,1.00,1.00,,,,,,,37,CHRONIC,ALCMYO,EXCUSE,GENF,AGEGRP0
2006,2010,VT,Vermont,ARDI,Excessive Use,Acute     ,Aspiration,Male,All Ages,0.18,0.18,,,,,,,50,ACUTE,ASPIRA,EXCUSE,GENM,AGEGRP0
2006,2010,AK,Alaska,ARDI,Excessive Use,Chronic   ,Degeneration of nervous system due to alcohol,Male,All Ages,1.00,1.00,,,,,,,02,CHRONIC,ALCNER,EXCUSE,GENM,AGEGRP0
2006,2010,ND,North Dakota,ARDI,Excessive Use,Chronic   ,Hypertension,Male,All Ages,,,N/A,0.00,0.01,0.01,0.02,0.02,38,CHRONIC,HYPERT,EXCUSE,GENM,AGEGRP0
2006,2010,IA,Iowa,ARDI,Excessive Use,Chronic   ,"Liver cirrhosis, unspecified",Male,All Ages,0.40,0.40,,,,,,,19,CHRONIC,LIVCIR,EXCUSE,GENM,AGEGRP0
2006,2010,MO,Missouri,ARDI,Excessive Use,Chronic   ,Alcoholic psychosis,Male,All Ages,1.00,1.00,,,,,,,29,CHRONIC,ALCPSY,EXCUSE,GENM,AGEGRP0
2006,2010,ND,North Dakota,ARDI,Excessive Use,Chronic   ,Epilepsy,Male,All Ages,0.15,0.15,,,,,,,38,CHRONIC,EPILEP,EXCUSE,GENM,AGEGRP0
2006,2010,KS,Kansas,ARDI,Excessive Use,Acute     ,Other road vehicle crashes,Male,All Ages,0.18,0.18,,,,,,,20,ACUTE,ORVACC,EXCUSE,GENM,AGEGRP0
2006,2010,MI,Michigan,ARDI,Excessive Use,Chronic   ,Epilepsy,Male,All Ages,0.15,0.15,,,,,,,26,CHRONIC,EPILEP,EXCUSE,GENM,AGEGRP0
2006,2010,VT,Vermont,ARDI,Excessive Use,Chronic   ,"Stroke, hemorrhagic",Male,All Ages,,,N/A,0.00,0.04,0.04,0.08,0.08,50,CHRONIC,STROKH,EXCUSE,GENM,AGEGRP0
2006,2010,MI,Michigan,ARDI,Excessive Use,Chronic   ,"Low birth weight, prematurity, IUGR, death",Female,All Ages,,,N/A,0.00,0.02,0.02,0.01,0.01,26,CHRONIC,LBWPID,EXCUSE,GENF,AGEGRP0
2006,2010,ME,Maine,ARDI,Excessive Use,Chronic   ,Esophageal cancer,Female,All Ages,,,N/A,0.00,0.01,0.01,0.01,0.01,23,CHRONIC,ESOCAN,EXCUSE,GENF,AGEGRP0
2006,2010,AL,Alabama,ARDI,Excessive Use,Acute     ,Alcohol poisoning,Male,All Ages,1.00,1.00,,,,,,,01,ACUTE,ALCPOI,EXCUSE,GENM,AGEGRP0
2006,2010,OH,Ohio,ARDI,Excessive Use,Acute     ,Hypothermia,Female,All Ages,0.42,0.42,,,,,,,39,ACUTE,HYPOTH,EXCUSE,GENF,AGEGRP0
2006,2010,TX,Texas,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,25-34,0.49,0.49,,,,,,,48,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP10
2006,2010,DC,District of Columbia,ARDI,Excessive Use,Chronic   ,Chronic pancreatitis,Female,All Ages,0.84,0.84,,,,,,,11,CHRONIC,CHRPAN,EXCUSE,GENF,AGEGRP0
2006,2010,TX,Texas,ARDI,Excessive Use,Chronic   ,Fetal alcohol syndrome,Female,All Ages,1.00,1.00,,,,,,,48,CHRONIC,ALCFAS,EXCUSE,GENF,AGEGRP0
2006,2010,AL,Alabama,ARDI,Excessive Use,Chronic   ,Gastroesophageal hemorrhage,Male,All Ages,0.47,0.47,,,,,,,01,CHRONIC,GASHEM,EXCUSE,GENM,AGEGRP0
2006,2010,AR,Arkansas,ARDI,Excessive Use,Chronic   ,Esophageal cancer,Female,All Ages,,,N/A,0.00,0.01,0.01,0.01,0.01,05,CHRONIC,ESOCAN,EXCUSE,GENF,AGEGRP0
2006,2010,GA,Georgia,ARDI,Excessive Use,Acute     ,Suicide,Male,All Ages,0.23,0.23,,,,,,,13,ACUTE,SUICID,EXCUSE,GENM,AGEGRP0
